epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,475.14,1.10435,2.99919,0.00288,0.38489,0.965,0.86738,0.56791,1.14907,4.43764,0.00401,0.00032,0.00032,0.06832
2,787.881,0.88576,1.33836,0.00226,0.81,0.975,0.96841,0.75552,0.97863,3.95408,0.00345,0.000640397,0.000640397,0.0353071
3,1075.34,0.7851,0.99192,0.00198,0.42896,1,0.99229,0.75405,1.01559,2.68595,0.00385,0.000947595,0.000947595,0.00228093
4,1336.89,0.72521,0.88408,0.00171,0.99585,0.97443,0.99437,0.83631,0.72302,1.66155,0.00256,0.0009406,0.0009406,0.0009406
5,1647.21,0.69442,0.79283,0.0018,0.98922,0.99,0.99451,0.87654,0.58485,1.12569,0.00203,0.0009208,0.0009208,0.0009208
6,1929.67,0.66163,0.74761,0.00165,0.99134,0.99566,0.99495,0.90297,0.5049,0.61484,0.00166,0.000901,0.000901,0.000901
7,2249.45,0.63043,0.66982,0.00149,0.99678,1,0.995,0.88656,0.5191,0.66787,0.00146,0.0008812,0.0008812,0.0008812
8,2531.37,0.61225,0.57526,0.00144,0.99136,1,0.9949,0.90052,0.45675,0.46042,0.00141,0.0008614,0.0008614,0.0008614
9,2875.25,0.58547,0.54207,0.0014,0.99739,0.98929,0.9949,0.91098,0.4867,0.50805,0.00151,0.0008416,0.0008416,0.0008416
10,3685.29,0.5909,0.513,0.0014,0.99104,0.99908,0.99485,0.88367,0.40303,0.39221,0.00121,0.0008218,0.0008218,0.0008218
11,4046.63,0.5899,0.45367,0.00142,0.99585,1,0.995,0.89576,0.38891,0.40498,0.0011,0.000802,0.000802,0.000802
12,5073.73,0.61494,0.4596,0.0015,0.9977,1,0.995,0.89231,0.62493,0.42762,0.00179,0.0007822,0.0007822,0.0007822
13,5360.21,0.5898,0.44763,0.00149,0.99734,1,0.995,0.88326,0.5346,0.37338,0.00174,0.0007624,0.0007624,0.0007624
14,6609.44,0.59589,0.42753,0.00147,0.99727,1,0.995,0.90103,0.56275,0.34909,0.00157,0.0007426,0.0007426,0.0007426
15,6977.46,0.55089,0.4026,0.00132,0.99793,1,0.995,0.88876,0.55362,0.34018,0.00166,0.0007228,0.0007228,0.0007228
16,7253.75,0.53977,0.38553,0.00126,0.99782,0.99477,0.995,0.92611,0.46034,0.31668,0.00144,0.000703,0.000703,0.000703
17,7540.02,0.51264,0.37138,0.00123,0.99567,1,0.995,0.88805,0.51624,0.33573,0.00138,0.0006832,0.0006832,0.0006832
18,7846.19,0.53272,0.37587,0.00131,0.99645,1,0.995,0.91434,0.50879,0.33687,0.00158,0.0006634,0.0006634,0.0006634
19,8200.95,0.52769,0.38412,0.00125,0.99713,1,0.995,0.91529,0.47136,0.3283,0.00135,0.0006436,0.0006436,0.0006436
20,8464.73,0.5437,0.37575,0.00125,0.99728,1,0.995,0.9347,0.41652,0.31213,0.00121,0.0006238,0.0006238,0.0006238
21,8791.7,0.51392,0.34872,0.00121,0.99722,1,0.995,0.93404,0.45929,0.31855,0.00135,0.000604,0.000604,0.000604
22,9094.76,0.5082,0.35285,0.00115,0.99569,1,0.995,0.89235,0.41013,0.27439,0.00114,0.0005842,0.0005842,0.0005842
23,9384.76,0.50573,0.35036,0.00114,0.99618,1,0.995,0.92687,0.49704,0.32486,0.00158,0.0005644,0.0005644,0.0005644
24,9663.42,0.51624,0.34465,0.00118,0.99767,1,0.995,0.93203,0.47014,0.30196,0.00127,0.0005446,0.0005446,0.0005446
25,9916.72,0.45212,0.32035,0.00103,0.99641,1,0.995,0.93159,0.36799,0.29287,0.00108,0.0005248,0.0005248,0.0005248
26,10144.2,0.43489,0.31787,0.00102,0.99781,0.995,0.9949,0.94005,0.33881,0.25512,0.00098,0.000505,0.000505,0.000505
27,10397.9,0.40366,0.29554,0.00093,0.9934,0.99783,0.99495,0.94788,0.32121,0.24505,0.00094,0.0004852,0.0004852,0.0004852
28,10647.2,0.40629,0.28983,0.00097,0.99695,0.995,0.99495,0.94299,0.36971,0.25336,0.00111,0.0004654,0.0004654,0.0004654
29,10892.4,0.41363,0.30227,0.00098,0.99599,1,0.995,0.94977,0.34122,0.23856,0.00099,0.0004456,0.0004456,0.0004456
30,11236.4,0.40234,0.28552,0.00092,0.99699,1,0.995,0.95315,0.33334,0.25178,0.00098,0.0004258,0.0004258,0.0004258
31,11521.3,0.37367,0.27538,0.00092,0.99819,0.99432,0.99495,0.95131,0.33126,0.22964,0.00099,0.000406,0.000406,0.000406
32,11907.4,0.38836,0.28313,0.00091,0.99705,1,0.995,0.95066,0.31928,0.23228,0.00093,0.0003862,0.0003862,0.0003862
33,12272.4,0.37783,0.27227,0.00086,0.99814,0.9982,0.995,0.95384,0.31246,0.22394,0.00091,0.0003664,0.0003664,0.0003664
34,12641.5,0.35806,0.26726,0.00088,0.9979,0.99927,0.995,0.95591,0.33521,0.23397,0.00102,0.0003466,0.0003466,0.0003466
35,13019.9,0.38332,0.27493,0.00088,0.99792,0.99972,0.995,0.95236,0.31519,0.23347,0.00092,0.0003268,0.0003268,0.0003268
36,13367,0.37132,0.26807,0.00084,0.99808,0.99995,0.995,0.95183,0.33471,0.24147,0.00099,0.000307,0.000307,0.000307
37,13871.8,0.3604,0.26632,0.00082,0.99813,0.99839,0.995,0.95269,0.30611,0.24449,0.00088,0.0002872,0.0002872,0.0002872
38,14205.4,0.35028,0.25478,0.00083,0.99762,1,0.995,0.95116,0.30592,0.23372,0.00088,0.0002674,0.0002674,0.0002674
39,14660.9,0.35966,0.26011,0.00082,0.99841,0.99988,0.995,0.9542,0.30944,0.22821,0.00089,0.0002476,0.0002476,0.0002476
40,15024.8,0.36168,0.25062,0.00087,0.99843,0.99398,0.99495,0.95297,0.34391,0.24206,0.00101,0.0002278,0.0002278,0.0002278
41,15282.8,0.32749,0.23596,0.00087,0.9984,0.99856,0.995,0.95287,0.35721,0.24895,0.00111,0.000208,0.000208,0.000208
42,15531.3,0.32969,0.22745,0.00086,0.99695,1,0.995,0.95262,0.32923,0.22833,0.00097,0.0001882,0.0001882,0.0001882
43,15775,0.32107,0.22948,0.00087,0.99875,0.9994,0.995,0.95082,0.33113,0.23387,0.00099,0.0001684,0.0001684,0.0001684
44,16043.2,0.33412,0.23317,0.00086,0.99873,1,0.995,0.95099,0.3309,0.2353,0.00097,0.0001486,0.0001486,0.0001486
45,16347.4,0.31633,0.22333,0.00083,0.99882,0.99965,0.995,0.95418,0.30397,0.22911,0.00088,0.0001288,0.0001288,0.0001288
46,16581.6,0.3232,0.23347,0.00082,0.99873,1,0.995,0.95322,0.32419,0.23576,0.00096,0.000109,0.000109,0.000109
47,16814.3,0.31859,0.22636,0.00083,0.99869,1,0.995,0.9555,0.31775,0.23101,0.00091,8.92e-05,8.92e-05,8.92e-05
48,17044.1,0.30209,0.21969,0.00079,0.9986,1,0.995,0.95373,0.32309,0.23197,0.00093,6.94e-05,6.94e-05,6.94e-05
49,17308.6,0.30693,0.21439,0.00081,0.99803,1,0.995,0.95407,0.29783,0.2233,0.00085,4.96e-05,4.96e-05,4.96e-05
