epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,326.526,1.22963,3.80721,0.00394,0.00325,0.4875,0.14417,0.10099,0.84017,4.43624,0.00293,0.0003,0.0003,0.0703
2,551.651,1.23738,2.12155,0.00388,0.50325,0.525,0.49721,0.39762,0.79135,4.21339,0.00289,0.000620793,0.000620793,0.0372875
3,833.486,0.97662,1.68549,0.00294,0.50336,1,0.99012,0.76756,0.74816,3.97985,0.00286,0.000928387,0.000928387,0.00426172
4,1082.16,0.82989,1.39058,0.00258,0.42003,1,0.99207,0.8308,0.60512,3.64255,0.00212,0.0009406,0.0009406,0.0009406
5,1412.01,0.78962,1.27844,0.00227,0.14526,1,0.99476,0.82399,0.68325,3.40743,0.00246,0.0009208,0.0009208,0.0009208
6,1632.26,0.82652,1.30709,0.00258,0.06995,1,0.995,0.87399,0.56066,2.93323,0.00197,0.000901,0.000901,0.000901
7,1824.92,0.72789,1.13825,0.0021,1,0.48803,0.995,0.90877,0.54273,2.5488,0.00208,0.0008812,0.0008812,0.0008812
8,1991.12,0.66469,1.12732,0.00191,0.98754,0.79195,0.995,0.9305,0.48483,2.12185,0.00167,0.0008614,0.0008614,0.0008614
9,2161.83,0.71665,1.05863,0.00197,0.98747,0.97044,0.995,0.90655,0.65076,1.93478,0.0024,0.0008416,0.0008416,0.0008416
10,2361.62,0.78109,1.03604,0.00217,0.98421,1,0.995,0.90598,0.48298,1.54508,0.0017,0.0008218,0.0008218,0.0008218
11,2784.2,0.61647,0.89815,0.0018,0.99536,0.99873,0.995,0.92342,0.49124,1.27726,0.00186,0.000802,0.000802,0.000802
12,3039.12,0.75272,0.93231,0.00214,0.99901,0.99945,0.995,0.96375,0.48928,1.04122,0.00175,0.0007822,0.0007822,0.0007822
